CaptureEventID,NumSpecies,Species,Count
ASG000b3xp,1,reedbuck,1
ASG000b45v,1,zebra,1
ASG000b48a,1,reedbuck,1
ASG000b4c2,1,elephant,1
ASG000b4cg,1,otherBird,1
ASG000b4k2,1,elephant,1
ASG000b4vc,1,reedbuck,2
ASG000b4y1,1,warthog,1
ASG000b4yi,1,elephant,1
ASG000b504,1,human,11-50
ASG000b50u,1,giraffe,1
ASG000b514,1,wildebeest,1
ASG000b51h,1,zebra,1
ASG000b51i,1,buffalo,1
ASG000b55k,1,guineaFowl,2
ASG000b5b4,1,zebra,8
ASG000b5bx,1,zebra,11-50
ASG000b5c4,1,zebra,9
ASG000b5d5,1,zebra,11-50
ASG000b5dm,2,wildebeest,11-50
ASG000b5dm,2,zebra,9
ASG000b5du,1,zebra,11-50
ASG000b5e4,1,warthog,1
ASG000b5e9,2,otherBird,1
ASG000b5e9,2,zebra,9
ASG000b5el,1,zebra,3
ASG000b5eu,2,wildebeest,8
ASG000b5eu,2,zebra,9
ASG000b5fh,1,zebra,11-50
ASG000b5fo,1,zebra,7
ASG000b5h1,1,zebra,11-50
ASG000b5h9,1,zebra,11-50
ASG000b5hf,1,zebra,11-50
ASG000b5hg,1,zebra,11-50
ASG000b5hn,1,zebra,7
ASG000b5ht,1,buffalo,1
ASG000b5hy,1,zebra,11-50
ASG000b5jj,1,otherBird,1
ASG000b5ky,1,zebra,11-50
ASG000b5m1,1,zebra,7
ASG000b5n9,3,human,1
ASG000b5n9,3,wildebeest,4
ASG000b5n9,3,zebra,4
ASG000b5nq,2,wildebeest,3
ASG000b5nq,2,zebra,5
ASG000b5nt,1,zebra,2
ASG000b5om,1,zebra,5
ASG000b5on,1,zebra,11-50
ASG000b5ov,1,otherBird,1
ASG000b5pi,2,wildebeest,4
ASG000b5pi,2,zebra,11-50
ASG000b5pq,1,zebra,7
ASG000b5qb,2,wildebeest,5
ASG000b5qb,2,zebra,4
ASG000b5qi,2,wildebeest,5
ASG000b5qi,2,zebra,2
ASG000b5qv,1,zebra,8
ASG000b5r1,1,zebra,1
ASG000b5s9,1,wildebeest,5
ASG000b5t5,1,koriBustard,1
ASG000b5tc,1,eland,1
ASG000b5tm,2,wildebeest,5
ASG000b5tm,2,zebra,10
ASG000b5u4,1,lionFemale,5
ASG000b5uj,1,zebra,6
ASG000b5vt,1,mongoose,2
ASG000b5w5,1,zebra,1
ASG000b5wb,1,zebra,11-50
ASG000b5wk,1,zebra,3
ASG000b5yh,1,warthog,1
ASG000b5z2,2,wildebeest,11-50
ASG000b5z2,2,zebra,6
ASG000b5ze,1,lionFemale,1
ASG000b5zn,1,zebra,6
ASG000b610,2,wildebeest,11-50
ASG000b610,2,zebra,11-50
ASG000b61j,2,wildebeest,6
ASG000b61j,2,zebra,11-50
ASG000b61s,1,eland,3
ASG000b61z,1,zebra,11-50
ASG000b620,1,lionFemale,1
ASG000b638,2,wildebeest,5
ASG000b638,2,zebra,11-50
ASG000b63n,1,wildebeest,8
ASG000b65z,2,otherBird,3
ASG000b65z,2,zebra,6
ASG000b66e,2,wildebeest,6
ASG000b66e,2,zebra,11-50
ASG000b66u,1,zebra,4
ASG000b66x,1,zebra,8
ASG000b681,2,wildebeest,11-50
ASG000b681,2,zebra,5
ASG000b68k,1,zebra,11-50
ASG000b694,1,hyenaSpotted,1
ASG000b6a5,1,zebra,1
ASG000b6al,1,zebra,3
ASG000b6ax,1,zebra,10
ASG000b6bn,2,wildebeest,11-50
ASG000b6bn,2,zebra,11-50
ASG000b6cd,1,jackal,1
ASG000b6co,1,zebra,1
ASG000b74s,1,impossible,
ASG000b7ey,1,buffalo,4
ASG000b7m6,1,zebra,2
ASG000b7nd,2,wildebeest,1
ASG000b7nd,2,zebra,3
ASG000b7nl,1,zebra,1
ASG000b7qq,2,wildebeest,3
ASG000b7qq,2,zebra,1
ASG000b7rk,1,otherBird,1
ASG000b7ug,1,zebra,1
ASG000b7ur,3,otherBird,2
ASG000b7ur,3,wildebeest,6
ASG000b7ur,3,zebra,3
ASG000b7yr,1,zebra,2
ASG000b8df,1,reedbuck,1
ASG000b8iq,1,wildebeest,3
ASG000b8j8,1,wildebeest,2
ASG000b8ji,1,impala,7
ASG000b8jp,1,zebra,4
ASG000b8ky,1,wildebeest,1
ASG000b8lk,1,giraffe,1
ASG000b8ny,1,elephant,1
ASG000b8o0,1,elephant,2
ASG000b8o3,1,impala,3
ASG000b90n,1,zebra,2
ASG000b9ep,1,wildebeest,11-50
ASG000b9zw,2,otherBird,1
ASG000b9zw,2,wildebeest,3
ASG000baqo,1,buffalo,1
ASG000baxg,1,giraffe,1
ASG000baz0,1,wildebeest,8
ASG000bb5t,1,wildebeest,1
ASG000bb8x,1,wildebeest,2
ASG000bbc5,1,wildebeest,6
ASG000bbcl,1,wildebeest,1
ASG000bbcm,1,giraffe,1
ASG000bbj3,1,giraffe,1
ASG000bbl7,1,baboon,1
ASG000bbla,1,human,1
ASG000bblr,1,giraffe,1
ASG000bbn0,1,giraffe,1
ASG000bbne,1,wildebeest,1
ASG000bboi,1,hippopotamus,1
ASG000bbqx,1,wildebeest,10
ASG000bbrz,1,giraffe,1
ASG000bbtk,1,warthog,1
ASG000bbtl,1,baboon,1
ASG000bbto,1,warthog,1
ASG000bbu0,1,giraffe,1
ASG000bbu6,1,warthog,2
ASG000bbu9,1,buffalo,2
ASG000bbuq,1,warthog,1
ASG000bbv4,1,warthog,1
ASG000bbva,1,warthog,1
ASG000bbvi,1,warthog,2
ASG000bbw7,1,buffalo,7
ASG000bbw8,1,warthog,1
ASG000bbwf,1,warthog,1
ASG000bbwi,1,warthog,1
ASG000bbwl,1,buffalo,6
ASG000bbws,1,zebra,1
ASG000bbwy,1,human,1
ASG000bbxe,1,wildebeest,1
